#Time       v(a0)      v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(cout)   
 0.        -134.E-15   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 
 1.E-9      1.8        0.050858  -0.13851    1.7996     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        33.956E-9 
 2.E-9      1.8       -691.89E-6  0.0014807 -0.0030281  110.76E-6  0.70091    1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        113.42E-9 
 3.E-9      1.8       -33.792E-6  46.755E-6 -31.714E-6  8.9397E-6 -4.3319E-6 -5.8123E-6  327.97E-6  1.6638     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -452.14E-9 
 4.E-9      1.8        70.44E-6  -65.649E-6  69.06E-6  -11.62E-6   3.8412E-6 -634.44E-9  3.8557E-6 -4.2826E-6 -4.9709E-6  534.65E-6  1.8022     1.8        1.8        1.8        1.8        1.8        3.1439E-6 
 5.E-9      1.8       -123.83E-6  66.727E-6 -83.318E-6  24.758E-6 -8.7482E-6 -418.47E-9 -5.6863E-6  8.2376E-6  6.8811E-6  6.9372E-6  23.928E-6 -0.0024893  0.015931   1.7997     1.8        1.8       -7.3671E-6 
 6.E-9      1.8        95.532E-6 -43.747E-6  52.739E-6 -11.829E-6  4.2381E-6  2.3156E-6  7.8558E-6 -8.8387E-6 -3.5702E-6 -5.2943E-6 -7.2282E-6  17.865E-6  4.3521E-6 -1.8786E-6 -16.187E-6  1.8165     0.76974   
 7.E-9      1.8       -106.15E-6  69.974E-6 -76.248E-6  21.317E-6 -7.4615E-6 -7.2981E-6 -11.756E-6  18.139E-6  5.0077E-6  10.868E-6  11.308E-6 -30.318E-6 -8.7726E-6  2.9101E-6  17.382E-6 -0.018577   1.8       
 8.E-9      1.8       -106.77E-6  70.017E-6 -75.079E-6  22.472E-6 -8.4602E-6 -8.1701E-6 -12.825E-6  19.382E-6  5.136E-6   12.027E-6  12.33E-6  -32.81E-6  -9.6225E-6  3.0793E-6  17.416E-6 -0.011505   1.8001    
 9.E-9      1.8       -109.5E-6   71.852E-6 -76.647E-6  23.961E-6 -8.8181E-6 -8.8984E-6 -14.268E-6  21.299E-6  5.3501E-6  13.589E-6  13.71E-6  -35.416E-6 -11.09E-6   3.3557E-6  17.802E-6 -0.010214   1.8002    
 10.E-9     1.8       -107.87E-6  70.519E-6 -75.478E-6  23.623E-6 -8.251E-6  -8.8707E-6 -13.777E-6  20.359E-6  5.2359E-6  13.076E-6  13.32E-6  -34.872E-6 -10.542E-6  3.301E-6   17.497E-6 -0.0090686  1.8002    
 11.E-9     1.8        109.56E-6 -71.523E-6  76.716E-6 -24.746E-6  9.0621E-6  9.3458E-6  14.785E-6 -21.792E-6 -5.3712E-6 -14.169E-6 -14.244E-6  36.607E-6  11.7E-6   -3.4583E-6 -17.758E-6  0.0088244  1.7998    
 12.E-9     1.8       -108.98E-6  71.121E-6 -76.256E-6  24.422E-6 -8.848E-6  -9.2867E-6 -14.577E-6  21.334E-6  5.356E-6   13.968E-6  14.104E-6 -36.33E-6  -11.42E-6   3.4507E-6  17.687E-6 -0.0085459  1.8002    
 13.E-9     1.8        108.65E-6 -70.773E-6  75.906E-6 -24.169E-6  8.7827E-6  9.2942E-6  14.461E-6 -20.948E-6 -5.3031E-6 -13.784E-6 -13.965E-6  36.19E-6   11.268E-6 -3.4083E-6 -17.582E-6  0.0083147  1.7998    
 14.E-9     1.8       -108.2E-6   70.485E-6 -75.464E-6  23.907E-6 -8.6324E-6 -9.2569E-6 -14.303E-6  20.643E-6  5.2928E-6  13.656E-6  13.876E-6 -35.994E-6 -11.083E-6  3.4086E-6  17.52E-6  -0.0080536  1.8002    
 15.E-9     1.8        107.84E-6 -70.106E-6  75.09E-6  -23.607E-6  8.4665E-6  9.2632E-6  14.201E-6 -20.317E-6 -5.2411E-6 -13.49E-6  -13.747E-6  35.856E-6  10.957E-6 -3.3672E-6 -17.414E-6  0.0078348  1.7998    
 16.E-9     313.3E-12 -0.0031682 -0.00159    98.23E-6  -15.964E-6  5.2368E-6  18.344E-6  20.182E-6 -13.118E-6 -6.528E-6  -20.234E-6 -21.138E-6  41.702E-6  12.846E-6 -4.682E-6  -10.309E-6  14.452E-6  1.7999    
