#Time       v(a0)      v(sum7)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(cout)   
 0.        -62.E-15    1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 
 50.E-12    0.9        1.8001     1.8        1.7999     1.8001     1.8        1.8001     1.8        1.8       -151.31E-6 
 100.E-12   1.8        1.8        1.7999     1.7999     1.8001     1.8001     1.8001     1.8        1.8       -89.657E-6 
 150.E-12   1.8        1.7999     1.8002     1.8001     1.7999     1.7998     1.7999     1.8        1.8        131.26E-6 
 200.E-12   1.8        1.7999     1.8002     1.8001     1.7999     1.7998     1.7999     1.8        1.8        96.591E-6 
 250.E-12   1.8        1.8001     1.7998     1.7998     1.8001     1.8002     1.8001     1.8        1.8       -113.78E-6 
 300.E-12   1.8        1.7999     1.8        1.8001     1.8001     1.8        1.8001     1.8        1.8        80.799E-6 
 350.E-12   1.8        1.8001     1.8        1.7999     1.8        1.8        1.8        1.8        1.8       -111.08E-6 
 400.E-12   1.8        1.7999     1.8001     1.8001     1.7999     1.7999     1.8        1.8        1.8        97.818E-6 
 450.E-12   1.8        1.8001     1.8001     1.7998     1.8        1.8001     1.8        1.8        1.8       -99.203E-6 
 500.E-12   1.8        1.7999     1.7998     1.8002     1.8        1.8        1.8        1.8        1.8        111.63E-6 
 550.E-12   1.8        1.8001     1.7995     1.7999     1.8001     1.8001     1.8001     1.8        1.8       -120.6E-6  
 600.E-12   1.8        1.7999     1.8023     1.7999     1.8001     1.8        1.8        1.8        1.8        113.56E-6 
 650.E-12   1.8        1.8001     1.8276     1.7998     1.8        1.7999     1.8        1.8        1.8       -111.14E-6 
 700.E-12   1.8        1.7999     1.4089     1.8021     1.7999     1.7999     1.7999     1.8        1.8        71.011E-6 
 750.E-12   1.8        1.8001     0.28835    1.8219     1.8        1.8        1.8        1.8        1.8       -97.899E-6 
 800.E-12   1.8        1.7999    -0.090791   1.5773     1.8        1.8001     1.8        1.8        1.8        92.269E-6 
 850.E-12   1.8        1.8001     0.048154   0.51855    1.8001     1.8001     1.8001     1.8        1.8       -95.421E-6 
 900.E-12   1.8        1.7999    -0.025264  -0.065369   1.8        1.8001     1.8        1.8        1.8        58.968E-6 
 950.E-12   1.8        1.8001     0.013719   0.034746   1.7999     1.7999     1.8        1.8        1.8       -88.397E-6 
 1.E-9      1.8        1.7999    -0.0074312 -0.018027   1.7998     1.7999     1.7999     1.8        1.8        85.023E-6 
 1.05E-9    1.8        1.8001     0.0040729  0.0095635  1.7997     1.8001     1.8        1.8        1.8       -90.098E-6 
 1.1E-9     1.8        1.7999    -0.0022412 -0.0050622  1.8025     1.8        1.8        1.8        1.8        54.734E-6 
 1.15E-9    1.8        1.8001     0.0012568  0.0027067  1.8179     1.7999     1.8001     1.8        1.8       -85.949E-6 
 1.2E-9     1.8        1.7999    -814.66E-6 -0.0014524  1.6291     1.7999     1.8        1.8        1.8        83.607E-6 
 1.25E-9    1.8        1.8001     538.45E-6  792.93E-6  0.99664    1.8001     1.7999     1.8        1.8       -95.85E-6  
 1.3E-9     1.8        1.7999    -367.E-6   -546.52E-6  0.26912    1.8        1.8        1.8        1.8        57.497E-6 
 1.35E-9    1.8        1.8001     244.42E-6  365.39E-6 -0.012155   1.7998     1.8        1.8        1.8       -72.079E-6 
 1.4E-9     1.8        1.7999    -158.09E-6 -251.74E-6  0.0024976  1.7997     1.8        1.8        1.8        75.307E-6 
 1.45E-9    1.8        1.8001     95.846E-6  169.82E-6 -526.36E-6  1.8009     1.7999     1.8        1.8       -44.13E-6  
 1.5E-9     1.8        1.7999    -49.586E-6 -113.98E-6  90.772E-6  1.8141     1.8        1.8        1.8        77.633E-6 
 1.55E-9    1.8        1.8002     14.391E-6  74.13E-6  -8.1889E-6  1.6999     1.8        1.8        1.8       -77.744E-6 
 1.6E-9     1.8        1.8002    -44.192E-6  4.3456E-6  43.071E-6  0.85306    1.8001     1.8        1.8       -61.597E-6 
 1.65E-9    1.8        1.8002    -79.201E-6 -23.509E-6  42.363E-6  0.014617   1.8        1.8        1.8       -35.235E-6 
 1.7E-9     1.8        1.8001    -101.28E-6 -40.663E-6  42.26E-6   578.79E-6  1.8        1.8        1.8       -76.683E-6 
 1.75E-9    1.8        1.7999    -118.18E-6 -50.413E-6  43.083E-6  4.6025E-6  1.7999     1.8        1.8       -54.583E-6 
 1.8E-9     1.8        1.7998     169.17E-6  75.291E-6 -78.062E-6  93.874E-6  1.7998     1.7999     1.8        108.04E-6 
 1.85E-9    1.8        1.8001    -159.4E-6  -71.239E-6  54.301E-6  9.3332E-6  1.8012     1.8001     1.8       -64.707E-6 
 1.9E-9     1.8        1.8        165.53E-6  74.334E-6 -56.496E-6 -3.9294E-6  1.811      1.7999     1.8        39.589E-6 
 1.95E-9    1.8        1.8001    -165.44E-6 -74.529E-6  53.344E-6  26.266E-6  1.7217     1.8001     1.8       -50.584E-6 
 2.E-9      1.8        1.7999     167.64E-6  75.915E-6 -53.273E-6 -26.077E-6  1.2641     1.7999     1.8        65.608E-6 
 2.05E-9    1.8        1.8       -168.64E-6 -76.219E-6  52.627E-6  38.557E-6  0.51531    1.8001     1.8       -33.101E-6 
 2.1E-9     1.8        1.7999     170.09E-6  77.307E-6 -52.435E-6 -42.259E-6  0.057354   1.7996     1.8        53.779E-6 
 2.15E-9    1.8        1.8001    -171.76E-6 -78.714E-6  52.564E-6  50.68E-6  -0.0044426  1.7997     1.8       -18.506E-6 
 2.2E-9     1.8        1.8        173.66E-6  79.571E-6 -52.573E-6 -56.169E-6  589.E-6    1.8024     1.8        7.8772E-6 
 2.25E-9    1.8        1.7999    -175.49E-6 -80.328E-6  52.853E-6  62.151E-6 -110.84E-6  1.8197     1.8       -30.749E-6 
 2.3E-9     1.8        1.7999     177.32E-6  81.412E-6 -53.018E-6 -66.775E-6  19.961E-6  1.6117     1.8        52.148E-6 
 2.35E-9    1.8        1.8001    -178.82E-6 -82.5E-6    53.372E-6  71.364E-6  12.346E-6  0.84665    1.8       -24.029E-6 
 2.4E-9     1.8        1.8        180.81E-6  83.566E-6 -53.746E-6 -74.963E-6 -15.507E-6  0.11364    1.8        47.656E-6 
 2.45E-9    1.8        1.7999    -183.21E-6 -84.49E-6   54.112E-6  78.582E-6  26.453E-6 -0.02614    1.7999    -13.754E-6 
 2.5E-9     1.8        1.7999     90.55E-6   85.19E-6  -54.345E-6 -81.473E-6 -25.905E-6  0.0079943  1.7996     4.3163E-6 
 2.55E-9    1.8        1.8001    -125.11E-6 -86.106E-6  54.977E-6  84.273E-6  31.085E-6 -0.0025157  1.7998    -29.262E-6 
 2.6E-9     1.8        1.8        130.04E-6  87.282E-6 -55.581E-6 -86.645E-6 -32.635E-6  821.28E-6  1.8028     51.749E-6 
 2.65E-9    0.9        1.8001    -141.95E-6 -87.912E-6  56.33E-6   89.123E-6  35.582E-6 -338.14E-6  1.8191    -26.214E-6 
 2.7E-9    -1.1603E-9  1.7999    -141.73E-6 -78.959E-6  56.424E-6  83.205E-6  40.08E-6  -21.04E-6   1.6465    -50.665E-6 
 2.75E-9   -5.8435E-9  1.7996     480.99E-6  235.65E-6 -243.48E-6 -312.56E-6 -196.95E-6 -94.324E-6  0.85144    165.61E-6 
