#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 18.5E-9   -102.2E-12  33.942E-6 -3.4709E-6  22.179E-6 -156.38E-6  22.877E-6  151.53E-6  71.066E-6  40.552E-6  8.8432E-6 
 19.E-9     102.3E-12 -31.937E-6  3.3716E-6 -22.287E-6  156.67E-6 -22.583E-6 -151.47E-6 -71.337E-6 -39.507E-6 -8.5945E-6 
 19.5E-9   -102.6E-12  30.357E-6 -3.2352E-6  22.422E-6 -156.72E-6  22.337E-6  151.51E-6  71.633E-6  38.602E-6  8.4093E-6 
 20.E-9     102.5E-12 -29.003E-6  3.1466E-6 -22.496E-6  156.88E-6 -22.045E-6 -151.33E-6 -71.824E-6 -37.701E-6 -8.198E-6  
 20.5E-9    1.8        22.02E-6  -2.2574E-6  21.609E-6 -147.01E-6  18.648E-6  141.14E-6  68.707E-6  30.413E-6  6.7081E-6 
 21.E-9     1.8       -27.253E-6  2.0985E-6 -21.951E-6  149.61E-6 -18.645E-6 -141.62E-6 -70.117E-6 -31.959E-6 -7.169E-6  
 21.5E-9    1.8        30.871E-6 -2.2003E-6  22.797E-6 -155.6E-6   19.855E-6  146.75E-6  72.774E-6  34.811E-6  7.8344E-6 
 22.E-9     1.8       -29.941E-6  2.1551E-6 -22.667E-6  155.13E-6 -19.462E-6 -146.04E-6 -72.492E-6 -33.645E-6 -7.46E-6   
 22.5E-9    1.8        29.544E-6 -2.0793E-6  22.647E-6 -154.87E-6  19.242E-6  145.81E-6  72.455E-6  32.924E-6  7.2505E-6 
 23.E-9     1.8       -28.868E-6  2.0462E-6 -22.578E-6  154.75E-6 -18.987E-6 -145.4E-6  -72.335E-6 -32.207E-6 -7.0263E-6 
 23.5E-9    1.8        27.998E-6 -1.9714E-6  22.551E-6 -154.43E-6  18.794E-6  145.12E-6  72.28E-6   31.618E-6  6.8742E-6 
 24.E-9     1.8       -27.009E-6  1.9402E-6 -22.475E-6  154.26E-6 -18.565E-6 -144.68E-6 -72.151E-6 -31.026E-6 -6.6993E-6 
 24.5E-9    1.8        26.281E-6 -1.8681E-6  22.441E-6 -153.91E-6  18.389E-6  144.37E-6  72.08E-6   30.538E-6  6.5832E-6 
 25.E-9     1.8       -25.641E-6  1.84E-6   -22.359E-6  153.72E-6 -18.175E-6 -143.9E-6  -71.934E-6 -30.035E-6 -6.4377E-6 
 25.5E-9    201.5E-12 -26.106E-6  4.3267E-6 -36.179E-6  163.54E-6 -40.014E-6 -149.85E-6 -125.96E-6 -63.321E-6 -16.461E-6 
 26.E-9     206.5E-12 -25.896E-6  3.8867E-6 -42.23E-6   170.42E-6 -46.392E-6 -165.11E-6 -144.89E-6 -63.343E-6 -19.141E-6 
 26.5E-9   -207.5E-12  26.498E-6 -3.7072E-6  43.538E-6 -172.75E-6  47.476E-6  168.97E-6  149.1E-6   62.18E-6   19.44E-6  
 27.E-9     207.E-12  -24.963E-6  3.4841E-6 -43.754E-6  165.02E-6 -46.692E-6 -162.15E-6 -149.79E-6 -58.899E-6 -18.588E-6 
 27.5E-9   -207.E-12   23.682E-6 -3.2387E-6  44.06E-6  -164.27E-6  46.11E-6   156.02E-6  150.28E-6  56.271E-6  17.966E-6 
 28.E-9     207.E-12  -22.409E-6  3.0515E-6 -44.278E-6  163.32E-6 -45.471E-6 -156.49E-6 -150.3E-6  -53.508E-6 -17.37E-6  
 28.5E-9   -207.2E-12  21.265E-6 -2.8377E-6  44.519E-6 -162.32E-6  44.902E-6  156.93E-6  150.44E-6  50.958E-6  16.885E-6 
 29.E-9     207.2E-12 -20.009E-6  2.682E-6  -44.677E-6  161.74E-6 -44.281E-6 -157.18E-6 -150.37E-6 -48.692E-6 -16.404E-6 
 29.5E-9   -207.4E-12  18.908E-6 -2.4995E-6  44.858E-6 -160.91E-6  43.728E-6  157.61E-6  150.4E-6   46.791E-6  16.012E-6 
 30.E-9     208.E-12  -18.2E-6    2.3739E-6 -44.96E-6   160.12E-6 -43.123E-6 -157.84E-6 -150.25E-6 -45.071E-6 -15.612E-6 
